titulo,autores,editorial,fecha_publicacion,isbn,numero_paginas,genero,idioma
Refuge,N.G. Osborne (Goodreads Author),Cranham and Keith Books,2012-10-01,9780615695402,464,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Amazon', 'Thriller', 'Cultural', 'War', 'Historical Fiction']",English
No More Wasted Time,Beverly Preston (Goodreads Author),Beverly Preston,2012-01-12,9781469905839,360,"['Romance', 'Contemporary Romance', 'Erotica', 'Contemporary', 'Amazon', 'Adult', 'Chick Lit', 'Fiction', 'Travel', 'New Adult']",English
By Any Other Name,Laura Jarratt (Goodreads Author),Electric Monkey,2012-10-29,9781405256735,368,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Love', 'British Literature', 'Drama', 'Young Adult Contemporary']",English
The Giver,Lois Lowry (Goodreads Author),Ember,1993-04-26,9780385732550,208,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",English
Funny in Farsi: A Memoir of Growing Up Iranian in America,Firoozeh Dumas,Random House Trade Paperbacks,2003-06-17,9780812968378,240,"['Memoir', 'Nonfiction', 'Humor', 'Biography', 'Iran', 'Biography Memoir', 'Autobiography', 'Audiobook', 'Adult', 'Cultural']",English
Goddess of the Rose,P.C. Cast (Goodreads Author),Berkley Sensation,2006-10-28,9780425208915,345,"['Romance', 'Fantasy', 'Mythology', 'Paranormal Romance', 'Paranormal', 'Fiction', 'Magic', 'Adult', 'Greek Mythology', 'Beauty and The Beast']",English
The Golden Barbarian,Iris Johansen (Goodreads Author),Bantam Books,1991-01-01,9780553296044,352,"['Romance', 'Historical Romance', 'Historical', 'Fiction', 'Historical Fiction', 'Medieval', 'Mystery Thriller', 'Adult', 'M F Romance', 'Regency']",English
The Legacy,R.A. Salvatore,Wizards of the Coast,1992-11-06,9780786939848,334,"['Fantasy', 'Forgotten Realms', 'Fiction', 'High Fantasy', 'Dungeons and Dragons', 'Epic Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Epic']",English
Milana: Perempuan yang Menunggu Senja,Bernard Batubara (Goodreads Author),Gramedia,2013-04-01,9789792295078,192,"['Short Stories', 'Indonesian Literature', 'Romance', 'Fiction', 'Novels']",Indonesian
On Basilisk Station,David Weber,Baen Books,1992-04-28,9781416509370,458,"['Science Fiction', 'Space Opera', 'Fiction', 'Military Fiction', 'Military Science Fiction', 'Science Fiction Fantasy', 'Space', 'Audiobook', 'Fantasy', 'War']",English
Clarobscur,Pavao Pavličić,Editura Univers,1981-10-29,9999999999999,316,"['Novels', 'Crime']",Romanian
The Greco-Persian Wars,Peter Green,University of California Press,1970-07-23,9780520203136,356,"['History', 'Ancient History', 'Nonfiction', 'Greece', 'Military History', 'Ancient', 'Military Fiction', 'War', 'Classics']",English
The Buddha In Daily Life: An Introduction to the Buddhism of Nichiren Daishonin,Richard G. Causton,Rider,1994-02-27,9780712674560,299,"['Buddhism', 'Spirituality', 'Nonfiction', 'Self Help', 'Philosophy', 'Religion']",English
A Vida num Sopro,José Rodrigues dos Santos,Gradiva,2006-09-21,9789896162764,611,"['Romance', 'Portuguese Literature', 'Fiction', 'Portugal', 'Historical Fiction', 'Historical', 'Novels', 'Historical Romance', 'Drama', 'Literature']",Portuguese
Madame Roland,John S.C. Abbott,A Beka Book,2050-11-06,9999999999999,212,"['Historical', 'Biography', 'History']",English
